Date(UTC),UnixTimeStamp,Value,
10/11/16,1476144000,11.75,
10/12/16,1476230400,11.77,
10/13/16,1476316800,12.02,
10/14/16,1476403200,11.9,
10/15/16,1476489600,11.96,
10/16/16,1476576000,11.93,
10/17/16,1476662400,11.98,
10/18/16,1476748800,12.5,
10/19/16,1476835200,11.98,
10/20/16,1476921600,12.05,
10/21/16,1477008000,12.07,
10/22/16,1477094400,12.06,
10/23/16,1477180800,11.95,
10/24/16,1477267200,11.93,
10/25/16,1477353600,11.38,
10/26/16,1477440000,11.5,
10/27/16,1477526400,11.43,
10/28/16,1477612800,11.08,
10/29/16,1477699200,10.39,
10/30/16,1477785600,11.22,
10/31/16,1477872000,10.91,
11/1/16,1477958400,10.75,
11/2/16,1478044800,10.82,
11/3/16,1478131200,10.86,
11/4/16,1478217600,11.13,
11/5/16,1478304000,11.11,
11/6/16,1478390400,10.97,
11/7/16,1478476800,10.9,
11/8/16,1478563200,10.86,
11/9/16,1478649600,10.64,
11/10/16,1478736000,10.52,
11/11/16,1478822400,10.29,
11/12/16,1478908800,9.96,
11/13/16,1478995200,10.13,
11/14/16,1479081600,10,
11/15/16,1479168000,10.22,
11/16/16,1479254400,10.01,
11/17/16,1479340800,9.95,
11/18/16,1479427200,9.53,
11/19/16,1479513600,9.7,
11/20/16,1479600000,9.57,
11/21/16,1479686400,9.56,
11/22/16,1479772800,9.84,
11/23/16,1479859200,9.78,
11/24/16,1479945600,9.22,
11/25/16,1480032000,9.39,
11/26/16,1480118400,9.34,
11/27/16,1480204800,8.91,
11/28/16,1480291200,8.67,
11/29/16,1480377600,8.18,
11/30/16,1480464000,8.59,
12/1/16,1480550400,8.44,
12/2/16,1480636800,7.65,
12/3/16,1480723200,7.9,
12/4/16,1480809600,7.54,
12/5/16,1480896000,6.69,
12/6/16,1480982400,7.61,
12/7/16,1481068800,8.35,
12/8/16,1481155200,8.3,
12/9/16,1481241600,8.52,
12/10/16,1481328000,8.09,
12/11/16,1481414400,8.2,
12/12/16,1481500800,8.45,
12/13/16,1481587200,8.4,
12/14/16,1481673600,8.23,
12/15/16,1481760000,7.76,
12/16/16,1481846400,7.85,
12/17/16,1481932800,7.66,
12/18/16,1482019200,7.89,
12/19/16,1482105600,7.61,
12/20/16,1482192000,7.59,
12/21/16,1482278400,7.87,
12/22/16,1482364800,7.64,
12/23/16,1482451200,7.16,
12/24/16,1482537600,7.23,
12/25/16,1482624000,7.19,
12/26/16,1482710400,7.21,
12/27/16,1482796800,7.15,
12/28/16,1482883200,7.57,
12/29/16,1482969600,8.21,
12/30/16,1483056000,8.16,
12/31/16,1483142400,8.05,
1/1/17,1483228800,8.14,
1/2/17,1483315200,8.34,
1/3/17,1483401600,9.6,
1/4/17,1483488000,10.88,
1/5/17,1483574400,10.2,
1/6/17,1483660800,10.07,
1/7/17,1483747200,9.79,
1/8/17,1483833600,10.27,
1/9/17,1483920000,10.2,
1/10/17,1484006400,10.55,
1/11/17,1484092800,9.83,
1/12/17,1484179200,9.81,
1/13/17,1484265600,9.78,
1/14/17,1484352000,9.78,
1/15/17,1484438400,9.88,
1/16/17,1484524800,9.59,
1/17/17,1484611200,10.14,
1/18/17,1484697600,10.19,
1/19/17,1484784000,10.43,
1/20/17,1484870400,10.6,
1/21/17,1484956800,10.91,
1/22/17,1485043200,10.71,
